ID,ufn,date,year,month,day,location,region,site,forklength,fishweight,corrected.bolus.ww,phylum,class,order,infraorder,family,genus,species,plot.taxon.g,plot.taxon,life.stage,DI,count,size,length.avg,corrected.prey.weight,tperiod,time,ID3,cluster
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,1,5,>10,10.29,7.546,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,11,5-10,6.68,7.084,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Arthropoda,Maxillopoda,Calanoida,NA,Euchaetidae,Paraeuchaeta,NA,Calanoid copepod,Paraeuchaeta,NA,4,1,5-10,6,1.694,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Arthropoda,Maxillopoda,Calanoida,NA,Euchaetidae,Paraeuchaeta,NA,Calanoid copepod,Paraeuchaeta,NA,4,2,2-5,4,1.078,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,Arthropoda,Malacostraca,Decapoda,Brachyura,NA,NA,NA,Decapod,Brachyura,NA,2,1,5-10,5.1,1.54,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,5,2-5,NA,4.62,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,NA,4,3,2-5,4,2.464,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,NA,3,1,2-5,3.5,0.308,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,NA,5,NA,NA,NA,7.084,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,1,3,2-5,3.66,1.386,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,8,5-10,5.59,3.542,DI_Late,Late,DI_2015,B
D10_U1013,U1013,2015-06-05,2015,6,5,DI,East,D10,120,22.3,21.868,Arthropoda,Malacostraca,Decapoda,Anomura,Paguridae,NA,NA,Decapod,Paguridae,megalopa,3,1,2-5,3.5,3.08,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,14,2-5,NA,7.854,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,C5-6,1,5,2-5,3.62,7.238,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,C5-6,1,5,2-5,3.6,6.93,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,C5-6,2,4,2-5,3.62,6.468,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,NA,3,6,2-5,3.62,6.006,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,NA,5,NA,NA,NA,28.182,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,NA,NA,NA,NA,NA,NA,Other,Other,NA,2,3,<1,0.47,0,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Malacostraca,Amphipoda,NA,Gammaridae,NA,NA,Amphipod,Gammaridae,NA,4,1,2-5,4.15,1.078,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Malacostraca,Amphipoda,NA,Gammaridae,NA,NA,Amphipod,Gammaridae,NA,3,1,2-5,2.5,1.078,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Malacostraca,Amphipoda,NA,Hyperiidae,NA,NA,Amphipod,Hyperiidae,NA,4,1,1-2,NA,0,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,mature,1,1,5-10,8.06,1.54,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,6,5-10,6.65,2.772,DI_Late,Late,DI_2015,B
D10_U1014,U1014,2015-06-05,2015,6,5,DI,East,D10,NA,14,89.166,Arthropoda,Maxillopoda,Calanoida,NA,Euchaetidae,Paraeuchaeta,NA,Calanoid copepod,Paraeuchaeta,NA,4,2,2-5,NA,11.242,DI_Late,Late,DI_2015,B
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle,Barnacle,NA,4,1,<1,0.45,0.0154,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,57,1-2,NA,14.168,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,2,7,1-2,1.5,0.462,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,3,20,1-2,1.5,2.002,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle,Barnacle,NA,1,1,1-2,1.75,0.077,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,NA,5,NA,NA,NA,12.628,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,NA,4,2,2-5,4,1.694,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Branchiopoda,Diplostraca,NA,Podonidae,Evadne,NA,Cladoceran,Evadne,NA,2,1,<1,0.9,0.0154,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Malacostraca,Decapoda,Brachyura,Grapsidae,NA,NA,Decapod,Grapsidae,NA,3,1,1-2,1.75,0.077,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Harpacticoida,NA,NA,NA,NA,Other,Harpacticoida,NA,2,1,1-2,1.1,0.077,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Insecta,NA,NA,NA,NA,NA,Other,Insect,NA,4,1,2-5,NA,0.077,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,2,19,2-5,2.63,6.16,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,4,6,2-5,NA,0.77,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle,Nauplius,NA,2,1,<1,0.85,0.077,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,1,1,5-10,6.68,0.308,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,1,5-10,NA,0.0154,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,NA,2,18,1-2,1.5,1.694,JS_Peak,Peak,JS_2015,A
J09_U1023,U1023,2015-06-07,2015,6,7,JS,South,J09,106,11.8,44.506,Arthropoda,Maxillopoda,Calanoida,NA,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,NA,3,10,1-2,1.5,0.462,JS_Peak,Peak,JS_2015,A
J09_U1024,U1024,2015-06-07,2015,6,7,JS,South,J09,110,14.8,24.948,Arthropoda,Maxillopoda,Calanoida,NA,Aetideidae,Aetideus,NA,Calanoid copepod,Aetideus,NA,1,2,2-5,2.15,0.462,JS_Peak,Peak,JS_2015,A
J09_U1024,U1024,2015-06-07,2015,6,7,JS,South,J09,110,14.8,24.948,Arthropoda,Maxillopoda,Calanoida,NA,Aetideidae,Aetideus,NA,Calanoid copepod,Aetideus,NA,3,1,2-5,2.2,0.154,JS_Peak,Peak,JS_2015,A
J09_U1024,U1024,2015-06-07,2015,6,7,JS,South,J09,110,14.8,24.948,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle,Barnacle,NA,1,2,<1,0.85,0.077,JS_Peak,Peak,JS_2015,A
