ufn,date,year,month,day,location,region,site,forklength,fishweight,corrected.bolus.ww,phylum,class,order,infraorder,family,genus,species,plot.taxon.g,plot.taxon.d,life.stage,DI,count,size,length.avg,corrected.prey.weight,corrected.ww,corrected.weight
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,Calanoida,NA,Aetideidae,Aetideus,NA,Calanoid copepod,Aetideus,NA,3,1,05-Feb,2.2,0.154,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle,Barnacle,NA,3,1,<1,0.9,0.077,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Digested calanoid,NA,4,10,05-Feb,NA,3.08,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Chaetognatha,NA,NA,NA,NA,NA,NA,Other,Chaetognatha,NA,4,1,10-May,NA,0.077,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,NA,Decapod,Digested decapod,NA,4,1,05-Feb,NA,0.154,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,NA,5,NA,NA,NA,12.012,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,Calanoida,NA,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,NA,3,4,05-Feb,3.75,3.85,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,1,1,05-Feb,3,0.462,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,2,3,05-Feb,2,0.924,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,3,4,05-Feb,2.5,1.54,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,4,10-May,6.68,0.77,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Malacostraca,Decapoda,Brachyura,Pinnotheridae,NA,NA,Decapod,Pinnotheridae,NA,4,6,05-Feb,3.5,11.55,NA,NA
U1025,2015-06-07,2015,6,7,JS,South,J09,110,13.2,38.192,Arthropoda,Maxillopoda,Calanoida,NA,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,NA,3,3,02-Jan,1.55,0.308,NA,NA
U1239,2015-06-09,2015,6,9,JS,North,J02,111,14.4,401.324,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Digested calanoid,NA,4,10,05-Feb,NA,3.234,NA,NA
U1239,2015-06-09,2015,6,9,JS,North,J02,111,14.4,401.324,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,NA,1,2,05-Feb,2.95,1.694,NA,NA
U1239,2015-06-09,2015,6,9,JS,North,J02,111,14.4,401.324,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,NA,2,2,05-Feb,2.75,1.078,NA,NA
